doc_id,type_decision,formation,judge_rapporteur_name,predicted_author,max_probability,prob_rapporteur,norm_rapporteur,rapporteur_rank,top1_match,top3_match,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček
ECLI:CZ:US:2022:3.US.1909.22.1,Usnesení,Third Chamber,Ludvík David,Jan Filip,0.8868700662639509,0.0004486326714415,0.048858372703805,12,0,0,0.0004737451504019,0.0006609020818581,0.00026830419428,0.0006203342257036,0.8868700662639509,0.0010676261423409,0.0001713712819117,0.0005868439042412,0.0258222036125241,0.0003250677312886,0.0004486326714415,0.0001285152935887,0.0001356058043888,0.0002041610688564,0.0077530986963971,0.0020306078811939,0.0009015508187847,0.0068463175847951,0.0001468639316176
ECLI:CZ:US:2022:3.US.1922.22.1,Usnesení,Third Chamber,Ludvík David,Jan Filip,0.887287119095418,0.0004954755824706,0.0488603245162389,11,0,0,0.0004370935584634,0.0006858212510961,0.0002929148564039,0.0006522696207061,0.887287119095418,0.0009995686798088,0.000173469690234,0.0007682985600986,0.0250799962998772,0.0003872851380029,0.0004954755824706,0.000126846796372,0.0001092503665721,0.0001940157006634,0.007460348882763,0.0018237472458915,0.0010827709597576,0.0068396872408623,0.0001329847175739
ECLI:CZ:US:2022:3.US.2276.22.1,Usnesení,Third Chamber,Ludvík David,Jan Filip,0.883488949724784,0.0004297085893503,0.0488769606200137,11,0,0,0.0004182000452615,0.0006421693379816,0.000296467525123,0.0006731479862017,0.883488949724784,0.0009558698622199,0.0001740015016907,0.0007499842422628,0.0251101068366362,0.0003174613574323,0.0004297085893503,0.0001425918749447,0.0001326960632943,0.0001985173201054,0.0091314229966618,0.0024150048666782,0.0009617090196173,0.0057488920503497,0.0001258163722402
ECLI:CZ:US:2022:3.US.2289.22.1,Usnesení,Third Chamber,Ludvík David,Jan Filip,0.8759448219653584,0.0004909143961869,0.0489229095861667,11,0,0,0.0004216547954641,0.0006816958872832,0.0002825314136913,0.0007887700018436,0.8759448219653584,0.0009890995223224,0.0002037053372033,0.0006526438557224,0.0253294360081002,0.0003238365491709,0.0004909143961869,0.0001435875297535,0.0001414352061166,0.0001879133464576,0.0083432681240341,0.0027068249372162,0.0009000466523416,0.0060969218195244,0.0001485062509995
ECLI:CZ:US:2022:3.US.2301.22.1,Usnesení,Third Chamber,Ludvík David,Jan Filip,0.8892854966316537,0.0004469577246738,0.0488509843182098,11,0,0,0.0004172063270139,0.0006647639810877,0.0002988326307561,0.0006193017334346,0.8892854966316537,0.0009995303427691,0.0001591641494396,0.0008271827615644,0.0241415780956305,0.0003915847005794,0.0004469577246738,0.0001281340027945,0.0001182814150865,0.0002137752585476,0.0067317681248644,0.0017884433633693,0.0010035314267816,0.0067519179937467,0.0001326825356671
ECLI:CZ:US:2022:3.US.2387.22.1,Usnesení,Third Chamber,Ludvík David,Jan Filip,0.8735178330497716,0.0004836539130317,0.0489346264922362,11,0,0,0.0004500407273865,0.0006731280351314,0.000283671953212,0.0008010869589471,0.8735178330497716,0.0010796978148245,0.0002168325254987,0.0006732178167274,0.0263156249544261,0.0003554024355184,0.0004836539130317,0.0001464275492605,0.0001485741678992,0.0001887568790982,0.0085608340290924,0.0023440137586088,0.0007847965338647,0.00593045217031,0.000146222837075
ECLI:CZ:US:2022:Pl.US.3.22.1,Usnesení,Plenum,Ludvík David,Radovan Suchánek,0.9707821960109384,0.0003278504471701,0.0483151237912279,14,0,0,0.0007345645334506,0.0015611329800393,0.0005227718748383,6.447240814444546e-05,0.0017958152975753,0.0010776315151355,8.181302120972466e-05,0.0101193015294676,0.0427874816756375,7.952451559121021e-05,0.0003278504471701,0.0002103917442379,0.0001822960618129,0.0007469877326584,0.9707821960109384,0.0012207824508426,0.000463738361598,0.0005085407154203,0.0007605228890769
ECLI:CZ:US:2022:3.US.2126.22.1,Usnesení,Third Chamber,Vojtěch Šimíček,Jan Filip,0.9411253202133042,0.0002296186921004,0.0485524378910785,13,0,0,0.0007401959455593,0.0006291760821456,0.0002092345020547,0.0002113422122685,0.9411253202133042,0.0004750297748262,0.0002264661101793,0.0006052622664947,0.0092820753000089,0.0002155520610736,0.0004442558054735,7.521376363190124e-05,0.0001043134962872,0.0004821186915544,0.01690465274457,0.0023214895517343,0.0006524410218686,0.0041461527746908,0.0002296186921004
ECLI:CZ:US:2022:3.US.2408.22.1,Usnesení,Third Chamber,Vojtěch Šimíček,Jan Filip,0.9457216918868586,0.0002225012549122,0.0485237675459287,15,0,0,0.0006808725174963,0.0005874887048882,0.0002242150425268,0.000211822261001,0.9457216918868586,0.0005393130245418,0.0002393760405303,0.0007880163175608,0.0091336102710338,0.0002140520319917,0.0004384822393632,7.599738189656478e-05,9.904727854940255e-05,0.0004859535211156,0.0168880550745132,0.0026391239683402,0.0006554022497772,0.0040508657044199,0.0002225012549122
ECLI:CZ:US:2022:3.US.2616.22.1,Usnesení,Third Chamber,Vojtěch Šimíček,Jan Filip,0.9327366942254124,0.000206339603398,0.0486061376878043,16,0,0,0.0006996720669301,0.000692304195675,0.0002152519653709,0.0002239082775808,0.9327366942254124,0.0004414897465704,0.0002726736864086,0.0007476894442706,0.009950145261369,0.000188621309754,0.0006048005448605,8.724085631169451e-05,8.713343037611213e-05,0.0003788614293303,0.0142670816602406,0.0025014737719933,0.0008185568275399,0.003777147922299,0.000206339603398
ECLI:CZ:US:2022:4.US.579.22.6,Nález,Fourth Chamber,Radovan Suchánek,Radovan Suchánek,0.530280404164563,0.530280404164563,0.0853631613554709,1,1,1,0.0001028112995646,0.003950916070055,0.000360929293607,0.0001241299050745,0.0704449805080383,0.0022745264783125,0.001133941909175,0.057981099490297,0.0480973376391999,0.0009917331889908,0.0009817622726868,0.0006844363552624,0.0001063535464777,0.0001306022158493,0.530280404164563,0.0094567683923833,0.0008906538535205,0.0029810423265795,0.002390101723347
ECLI:CZ:US:2022:3.US.377.20.2,Nález,Third Chamber,Vojtěch Šimíček,Radovan Suchánek,0.8867799047084626,0.1930528598332813,0.058588353704219,2,0,1,0.0005522356311427,0.0003430624599416,0.0002903926591042,0.003552350590501,0.0010831536347415,0.0025186325806656,0.0004128483254899,0.0003192820650137,0.0009862114421019,0.0047871634535926,0.001989190309091,0.0006789927793413,0.0005309139890075,0.0009661456093216,0.8867799047084626,0.0032277822076656,0.0006033557611174,0.0389774619364709,0.1930528598332813
ECLI:CZ:US:2022:4.US.699.22.2,Nález,Fourth Chamber,Josef Fiala,Jan Filip,0.1746838703847969,0.0081862135185558,0.0523350582435199,3,0,1,0.0005278531260959,0.000568619016232,0.0005228193029908,0.0076028250653235,0.1746838703847969,0.0029454887843069,0.0007676182421472,0.0014173111469022,0.0081862135185558,0.0008929286055846,0.0003761400839414,0.0001186886762467,0.0009027598748168,0.0001657264985656,0.0325842610653862,0.0074664437626317,0.0004217364822498,0.005396923022028,0.0023261584494463
ECLI:CZ:US:2022:4.US.1448.21.2,Nález,Fourth Chamber,Jan Filip,Radovan Suchánek,0.5040768779496032,0.001095441117956,0.049695443991216,11,0,0,0.0005109631473995,7.800830903803392e-05,4.00356022176332e-05,0.021962609475057,0.001095441117956,0.0057173703484272,0.0006275753775894,0.0016405631142798,0.3675068619728573,0.0002103564603521,0.0020817966391731,0.0001442833034147,0.0031066716779849,0.0005037914894977,0.5040768779496032,0.0012928110382289,0.0001019819154926,0.0039183706890785,0.0017264044328006
ECLI:CZ:US:2022:3.US.3006.21.1,Nález,Third Chamber,Vojtěch Šimíček,Radovan Suchánek,0.230578167177983,0.0725556248579569,0.0554247422316047,2,0,1,0.0001140842704775,0.002609636337678,0.0003777312419241,0.021881940944463,0.0003583042639883,0.001660653345502,0.0006856141805564,0.0004785511471241,0.0022804120846968,0.0073796358167709,0.0007609707928825,0.0005219551953233,0.0003724045382192,0.0003201673571206,0.230578167177983,0.020220615614124,0.0007921038971896,0.0043398681862738,0.0725556248579569
ECLI:CZ:US:2022:3.US.3190.20.2,Nález,Third Chamber,Vojtěch Šimíček,Radovan Suchánek,0.7681960547120175,0.0670645257066014,0.0527199970632405,2,0,1,0.0018399651009359,0.0003608322775296,0.0002417158313382,0.0045515242739022,0.0004557195584307,0.00542305459578,0.001210207814895,0.0010285001431543,0.0051967530765694,0.0014512474678003,0.0016120130543523,0.0004219940768967,0.0039582323999217,0.0001547208437406,0.7681960547120175,0.0209937172712418,0.00028072779252,0.0091145616498828,0.0670645257066014
ECLI:CZ:US:2021:1.US.3918.19.4,Nález,First Chamber,David Uhlíř,Jiří Zemánek,0.260752940690138,0.0064566122638212,0.0510107234514686,8,0,0,0.0064566122638212,0.0384505408488627,0.0003430971080903,0.000868246308134,0.0008590855371262,0.0022147163653751,0.0112349603819484,0.260752940690138,0.010232126147792,0.0026811380479804,0.0015621156627674,0.0041009039951172,0.0002742662390267,0.0002204276487241,0.0496949361464737,0.0124824631427839,0.0002039081042319,0.2535802600504831,5.112970484880906e-05
ECLI:CZ:US:2021:4.US.1204.21.1,Nález,Fourth Chamber,Jan Filip,Josef Fiala,0.2240525801472845,0.0012836678454834,0.0515895045118893,12,0,0,0.0001177165571514,0.0013403643300771,0.000218856128104,0.0039222224534982,0.0012836678454834,0.0074204305616795,0.0013090050350512,0.0014668069234653,0.2240525801472845,0.0360684852449708,0.0015146556885664,0.0004842173603197,0.0001094690175611,0.0012284644759856,0.0652130114903728,0.0008190414761625,4.118470173020981e-05,0.0065489798269209,0.0252271292778992
ECLI:CZ:US:2021:1.US.3179.18.2,Nález,First Chamber,David Uhlíř,Vladimír Sládeček,0.7950873306821133,0.0003139468626763,0.0487556316207537,17,0,0,0.0003139468626763,0.0003565597670235,0.0002515173002995,0.0120108003281603,0.0006958108858069,0.020284983283153,0.0010358903234927,0.0022047339995381,0.009295531092385,0.0061965591675136,0.0029092869666779,0.000888956321831,0.0012636741066832,0.0001606088091165,0.2118803845672183,0.002097926445217,0.0004410213114267,0.7950873306821133,0.0054808279797166
ECLI:CZ:US:2021:3.US.361.21.1,Nález,Third Chamber,Vojtěch Šimíček,Radovan Suchánek,0.7289021890240038,0.003425350098035,0.0498160652062308,7,0,0,0.0009439598954376,0.00296653025805,0.0005902784926931,0.001783336011407,0.0011905983394078,0.0051683446921797,0.0034877789343746,0.0076717362257664,0.0016812284024035,0.0005889523976687,0.0006209036926232,0.0015006800873925,0.0022847115194401,0.0002430915981837,0.7289021890240038,0.0035267317432959,0.0010465517337543,0.0306498113623231,0.003425350098035
ECLI:CZ:US:2021:2.US.2385.21.2,Nález,Second Chamber,Kateřina Šimáčková,Radovan Suchánek,0.0658983858115093,0.0022933057139394,0.0523996977852961,9,0,0,0.0008662476562821,0.0019708396049389,0.000442405620974,0.0056294144281259,0.0007857690877194,0.0079255419822804,0.00365272416698,0.0012999286908875,0.0006531535511544,0.0022933057139394,0.010710327443554,0.0094053663823881,0.000873919908257,0.0006318698824473,0.0658983858115093,0.0063853647652022,0.0010042027986497,0.0031904841250435,0.0018655990463894
