true_author,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,norm_David Uhlíř,norm_Eliška Wagnerová,norm_Iva Brožová,norm_Ivana Janů,norm_Jan Filip,norm_Jan Musil,norm_Jiří Nykodým,norm_Jiří Zemánek,norm_Josef Fiala,norm_Kateřina Šimáčková,norm_Ludvík David,norm_Michaela Židlická,norm_Miloslav Výborný,norm_Pavel Varvařovský,norm_Radovan Suchánek,norm_Stanislav Balík,norm_Vladimír Kůrka,norm_Vladimír Sládeček,norm_Vojtěch Šimíček
David Uhlíř,0.03493186721282368,0.001286207163097017,0.0001447708169103526,0.011254485527587826,0.0014170433672592404,0.054866590507434504,0.007534388431175967,0.0010565495905707442,0.00042076070596211575,4.68430042765001e-05,0.000693398602323994,0.0007994440042488874,0.00032836753231824404,0.05356268957344253,5.7774167742191095e-05,0.017203585208709953,6.16577309760035e-05,0.0015420002719256421,0.0002755711935329207,0.053959189504370675,0.05217389901003362,0.052114379800537985,0.052696583764180654,0.052180725691515245,0.05504564412354358,0.0525009115414235,0.05216191825482598,0.05212876482740682,0.0521092766031939,0.05214297904176801,0.05214850885813867,0.05212394870787798,0.05497391682956382,0.052109846221327825,0.05301101535894097,0.05211004859360369,0.05218724644087875,0.052121196826868436
Vojtěch Šimíček,0.001638281958793284,0.0010870809508483372,4.7754989762236224e-05,0.10631185763357194,0.001840472901444872,0.00160490652387647,0.00025063066350034354,4.277300374416398e-06,0.00010291906354439957,0.00011380277586008437,0.0007632001687338848,4.781831689212517e-05,0.0026547176364804517,0.0029938277840058877,0.022490046191743187,0.0004406743342076894,9.523232021448627e-05,0.0021836390825666434,0.9825508409087627,0.04810473235384072,0.04807822428318914,0.04802828129454673,0.0534129984857805,0.048114459678376666,0.04810312686426896,0.04803802605292664,0.04802619318124427,0.04803093080327787,0.04803145356095575,0.04806265519170649,0.048028284336040034,0.04815365257798955,0.04816998473926347,0.049118331834581794,0.04804715624327123,0.04803056160325986,0.048130973767137555,0.12828997314834278
Jan Filip,0.000576105705967104,0.000710487017673316,0.00016073153630533866,0.00010288765183494227,0.9991367077986122,0.0005438284994991975,8.713017674251021e-05,0.00021729430100186567,0.000932223772946887,0.00012334375937796523,5.010152289575465e-05,2.0309803124818146e-05,0.00013400843731361506,0.0009249621373983082,0.0033547987329366332,0.002576825500053113,0.00025675677490372064,0.00033147754729993627,0.00017036660918504583,0.048273538577793484,0.04828002607511771,0.04825349116066797,0.04825070007202445,0.1310323392306503,0.048271980467967726,0.048249939768810125,0.04825622058872554,0.04829073271842844,0.04825168710362953,0.04824815317157014,0.04824671579752242,0.04825220169507632,0.048290382050000275,0.048407862458814795,0.04837021708300681,0.048258124936146,0.04826173095523621,0.0482539560888118
Jan Filip,0.00016754707883167498,0.00034635425255112996,0.00015098894514510347,0.00013183856704404156,0.9997226962503538,0.0005884900172995004,0.00010642180952765822,0.00019520496629931236,0.00040848689699967414,0.0001756957717579626,9.595939672133278e-05,2.707577572832455e-05,4.790044009290147e-05,0.00047717044587069785,0.0018264651964357398,0.0014514117092664866,0.0009250600866013398,0.0005832150456228727,0.0005141532416735234,0.04825723973647791,0.048265869248613036,0.04825644069326636,0.04825551657302992,0.13111843674645843,0.048277557556796406,0.04825429008985303,0.0482585744482416,0.04826886822787235,0.04825763297150816,0.048253785236191435,0.0482504614552161,0.04825146626534372,0.04827218361889733,0.04833736098470292,0.048319235288170365,0.04829380907242247,0.04827730289471935,0.04827396889221906
Jan Filip,0.00028866081729361515,0.001300773569482635,9.74179386913704e-05,0.00016408931135529695,0.9994270060034667,0.0005154929872295797,0.00016522834919237354,0.0002719970279263998,0.00020055030890312153,0.00018387190205202113,0.00015002706366325466,5.953567899827037e-05,9.131185534654242e-05,0.0006631243319967758,0.0006396279012287847,0.001759376419445297,0.00021714181451089323,0.0004992707939205562,0.00046155550198346065,0.048266099115779906,0.04831497457976137,0.0482568694506281,0.048260086909609846,0.13108785899528413,0.048277048661584346,0.04826014187970617,0.048265294826371936,0.04826184655259929,0.04826104162859955,0.0482594082690857,0.04825504140599305,0.04825657479106088,0.04828417639332502,0.048283041900845515,0.04833713704629625,0.048262647295939765,0.04827626550832083,0.04827444478920823
Jan Filip,0.00028866081729361515,0.001300773569482635,9.74179386913704e-05,0.00016408931135529695,0.9994270060034667,0.0005154929872295797,0.00016522834919237354,0.0002719970279263998,0.00020055030890312153,0.00018387190205202113,0.00015002706366325466,5.953567899827037e-05,9.131185534654242e-05,0.0006631243319967758,0.0006396279012287847,0.001759376419445297,0.00021714181451089323,0.0004992707939205562,0.00046155550198346065,0.048266099115779906,0.04831497457976137,0.0482568694506281,0.048260086909609846,0.13108785899528413,0.048277048661584346,0.04826014187970617,0.048265294826371936,0.04826184655259929,0.04826104162859955,0.0482594082690857,0.04825504140599305,0.04825657479106088,0.04828417639332502,0.048283041900845515,0.04833713704629625,0.048262647295939765,0.04827626550832083,0.04827444478920823
Jan Filip,0.00028866081729361515,0.001300773569482635,9.74179386913704e-05,0.00016408931135529695,0.9994270060034667,0.0005154929872295797,0.00016522834919237354,0.0002719970279263998,0.00020055030890312153,0.00018387190205202113,0.00015002706366325466,5.953567899827037e-05,9.131185534654242e-05,0.0006631243319967758,0.0006396279012287847,0.001759376419445297,0.00021714181451089323,0.0004992707939205562,0.00046155550198346065,0.048266099115779906,0.04831497457976137,0.0482568694506281,0.048260086909609846,0.13108785899528413,0.048277048661584346,0.04826014187970617,0.048265294826371936,0.04826184655259929,0.04826104162859955,0.0482594082690857,0.04825504140599305,0.04825657479106088,0.04828417639332502,0.048283041900845515,0.04833713704629625,0.048262647295939765,0.04827626550832083,0.04827444478920823
Jan Filip,0.00028866081729361515,0.001300773569482635,9.74179386913704e-05,0.00016408931135529695,0.9994270060034667,0.0005154929872295797,0.00016522834919237354,0.0002719970279263998,0.00020055030890312153,0.00018387190205202113,0.00015002706366325466,5.953567899827037e-05,9.131185534654242e-05,0.0006631243319967758,0.0006396279012287847,0.001759376419445297,0.00021714181451089323,0.0004992707939205562,0.00046155550198346065,0.048266099115779906,0.04831497457976137,0.0482568694506281,0.048260086909609846,0.13108785899528413,0.048277048661584346,0.04826014187970617,0.048265294826371936,0.04826184655259929,0.04826104162859955,0.0482594082690857,0.04825504140599305,0.04825657479106088,0.04828417639332502,0.048283041900845515,0.04833713704629625,0.048262647295939765,0.04827626550832083,0.04827444478920823
Jan Filip,0.00028866081729361515,0.001300773569482635,9.74179386913704e-05,0.00016408931135529695,0.9994270060034667,0.0005154929872295797,0.00016522834919237354,0.0002719970279263998,0.00020055030890312153,0.00018387190205202113,0.00015002706366325466,5.953567899827037e-05,9.131185534654242e-05,0.0006631243319967758,0.0006396279012287847,0.001759376419445297,0.00021714181451089323,0.0004992707939205562,0.00046155550198346065,0.048266099115779906,0.04831497457976137,0.0482568694506281,0.048260086909609846,0.13108785899528413,0.048277048661584346,0.04826014187970617,0.048265294826371936,0.04826184655259929,0.04826104162859955,0.0482594082690857,0.04825504140599305,0.04825657479106088,0.04828417639332502,0.048283041900845515,0.04833713704629625,0.048262647295939765,0.04827626550832083,0.04827444478920823
Jan Filip,0.00028866081729361515,0.001300773569482635,9.74179386913704e-05,0.00016408931135529695,0.9994270060034667,0.0005154929872295797,0.00016522834919237354,0.0002719970279263998,0.00020055030890312153,0.00018387190205202113,0.00015002706366325466,5.953567899827037e-05,9.131185534654242e-05,0.0006631243319967758,0.0006396279012287847,0.001759376419445297,0.00021714181451089323,0.0004992707939205562,0.00046155550198346065,0.048266099115779906,0.04831497457976137,0.0482568694506281,0.048260086909609846,0.13108785899528413,0.048277048661584346,0.04826014187970617,0.048265294826371936,0.04826184655259929,0.04826104162859955,0.0482594082690857,0.04825504140599305,0.04825657479106088,0.04828417639332502,0.048283041900845515,0.04833713704629625,0.048262647295939765,0.04827626550832083,0.04827444478920823
