author,rank,feature,weight,abs_weight,direction
Miloslav Výborný,19,char3_roz,0.13397247403985027,0.13397247403985027,positive
Miloslav Výborný,20,pos2_VERB_ADJ,-0.12954253172022095,0.12954253172022095,negative
Pavel Varvařovský,1,fw_tedy,0.32748590098271,0.32748590098271,positive
Pavel Varvařovský,2,fw_nežli,0.19928086470893344,0.19928086470893344,positive
Pavel Varvařovský,3,char3_ ob,0.19866467047223935,0.19866467047223935,positive
Pavel Varvařovský,4,fw_pak,0.19546756005432364,0.19546756005432364,positive
Pavel Varvařovský,5,fw_vlastně,0.176070596493433,0.176070596493433,positive
Pavel Varvařovský,6,fw_zřejmě,0.17314742215625323,0.17314742215625323,positive
Pavel Varvařovský,7,pos2_ADV_CCONJ,0.1696742693106514,0.1696742693106514,positive
Pavel Varvařovský,8,char3_ter,0.16428237695599374,0.16428237695599374,positive
Pavel Varvařovský,9,pos2_NOUN_PROPN,0.1611930243766866,0.1611930243766866,positive
Pavel Varvařovský,10,char3_ako,0.14154683732675508,0.14154683732675508,positive
Pavel Varvařovský,11,fw_přesto,0.13958523270601972,0.13958523270601972,positive
Pavel Varvařovský,12,fw_žádný,0.13638636526679598,0.13638636526679598,positive
Pavel Varvařovský,13,char3_níh,0.13475299558990786,0.13475299558990786,positive
Pavel Varvařovský,14,char3_ ve,-0.13285562608088483,0.13285562608088483,negative
Pavel Varvařovský,15,char3_dy ,0.12741780106159384,0.12741780106159384,positive
Pavel Varvařovský,16,pos2_PUNCT_SCONJ,0.1258682490771968,0.1258682490771968,positive
Pavel Varvařovský,17,fw_tudíž,0.12578051171186488,0.12578051171186488,positive
Pavel Varvařovský,18,pos2_ADP_PRON,-0.12380941820181507,0.12380941820181507,negative
Pavel Varvařovský,19,pos2_SCONJ_AUX,0.12145234306168498,0.12145234306168498,positive
Pavel Varvařovský,20,char3_ve ,-0.12092440316555222,0.12092440316555222,negative
Radovan Suchánek,1,punct_;_per1k,-0.44282534532344014,0.44282534532344014,negative
Radovan Suchánek,2,xpos2_NNMS2-----A----_Z:-------------,0.3792575613611635,0.3792575613611635,positive
Radovan Suchánek,3,xpos2_Z:-------------_NNIS1-----A----,0.36745669104602113,0.36745669104602113,positive
Radovan Suchánek,4,fw_přitom,0.3631484022839163,0.3631484022839163,positive
Radovan Suchánek,5,fw_ani,0.3311241845392919,0.3311241845392919,positive
Radovan Suchánek,6,fw_tudíž,0.32444370645570253,0.32444370645570253,positive
Radovan Suchánek,7,xpos2_NNFS4-----A----_Z:-------------,-0.30988597600475387,0.30988597600475387,negative
Radovan Suchánek,8,"punct_""_per1k",0.2924785007596144,0.2924785007596144,positive
Radovan Suchánek,9,"char3_ "" ",0.2919801354471412,0.2919801354471412,positive
Radovan Suchánek,10,char3_lez,0.2730540440894666,0.2730540440894666,positive
Radovan Suchánek,11,pos2_ADJ_ADV,0.2653493500475279,0.2653493500475279,positive
Radovan Suchánek,12,char3_nál,0.25413679723258725,0.25413679723258725,positive
Radovan Suchánek,13,punct_!_per1k,0.23971632453918781,0.23971632453918781,positive
Radovan Suchánek,14,char3_st ,0.23535972545328931,0.23535972545328931,positive
Radovan Suchánek,15,fw_ale,0.23443859286385557,0.23443859286385557,positive
Radovan Suchánek,16,fw_když,0.2342951402436666,0.2342951402436666,positive
Radovan Suchánek,17,char3_na ,0.23227881189076843,0.23227881189076843,positive
Radovan Suchánek,18,char3_í v,0.23146936716292216,0.23146936716292216,positive
Radovan Suchánek,19,xpos2_Z:-------------_RV--6----------,-0.22906370781559943,0.22906370781559943,negative
Radovan Suchánek,20,ttr_form,-0.22797880996902162,0.22797880996902162,negative
Stanislav Balík,1,fw_ke,0.3975801981692012,0.3975801981692012,positive
Stanislav Balík,2,pos2_AUX_PRON,0.36204555211499867,0.36204555211499867,positive
Stanislav Balík,3,fw_ještě,0.27417084631194294,0.27417084631194294,positive
Stanislav Balík,4,fw_asi,0.26769379363837636,0.26769379363837636,positive
Stanislav Balík,5,char3_led,0.2543244541402209,0.2543244541402209,positive
Stanislav Balík,6,punct_(_per1k,-0.22035264670473734,0.22035264670473734,negative
Stanislav Balík,7,char3_ sp,0.21923214932305587,0.21923214932305587,positive
Stanislav Balík,8,char3_ ( ,-0.21406443292375135,0.21406443292375135,negative
Stanislav Balík,9,xpos2_VpYS---XR-AA---_Z:-------------,0.21334738368328057,0.21334738368328057,positive
Stanislav Balík,10,punct_?_per1k,0.19861992715468038,0.19861992715468038,positive
Stanislav Balík,11,fw_ať,0.19313444832239315,0.19313444832239315,positive
Stanislav Balík,12,xpos2_RR--3----------_NNFS3-----A----,0.18859042931184256,0.18859042931184256,positive
Stanislav Balík,13,fw_totiž,-0.1747340041121877,0.1747340041121877,negative
Stanislav Balík,14,char3_ále,-0.17350220863971197,0.17350220863971197,negative
Stanislav Balík,15,punct_;_per1k,-0.1733163021299423,0.1733163021299423,negative
Stanislav Balík,16,char3_nál,-0.17142415507027445,0.17142415507027445,negative
