doc_id,judge_rapporteur,formation,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,predicted_author,max_probability,prob_rapporteur,rapporteur_is_trained_author
1-453-03,Eliška Wagnerová,I. senát,0.0015280578241261811,0.07398908504973799,0.0003802713271030973,0.029016232500717744,0.0012247600071607439,0.05424718928856295,0.0068782600969798146,0.00026332575075226885,0.00013074722647852055,0.022734863719260603,0.0015980229530007197,0.001303484307209682,0.0005709135756937978,0.00024062286464393996,0.0015541313581914442,0.047339632232216704,4.826057770404151e-05,0.00695801938886557,0.0025020087039139146,Eliška Wagnerová,0.07398908504973799,0.07398908504973799,True
1-48-04,Vojen Güttler,I. senát,0.0036478782055617896,0.0011028929532272082,0.0004028532771984044,0.11139914083895153,0.0008972774497764045,0.026902990027446647,0.006688496546176652,5.951714348619055e-06,0.00025122886125694346,0.0001625626462314491,6.137151430503548e-05,0.0044327669745798945,0.0005518172046652595,0.0032181058511608265,0.013249790075634586,0.10414512831061651,6.031713193521776e-06,0.0024424198291040605,0.003436050457755737,Ivana Janů,0.11139914083895153,,False
1-529-09_1,Eliška Wagnerová,I. senát,0.00037965794597340805,0.005709505273561735,0.0002684567482991144,0.4002579555185837,0.00040564368261186457,0.023110014326927986,0.000636165775988277,0.0011090463380329081,0.0018322188415511615,0.020352077837224616,0.14229152919931415,0.0006085989165737749,0.00014029872370250934,0.0006785275429128422,0.010168159053437176,0.0014338658807285362,8.645286037489507e-05,0.08039809283278575,0.0001419571371256209,Ivana Janů,0.4002579555185837,0.005709505273561735,True
1-544-06_1,Eliška Wagnerová,I. senát,0.004227858998009264,0.02253046230309671,0.0008038258474452386,0.00566910251500545,9.886920376429376e-05,0.007245447442074752,0.007499100524056226,0.005801134160737188,0.0030102097154113363,0.00012090002218567277,0.0001136766402481389,0.0015580155186988118,0.001483159190655601,0.0006129505397668116,0.0008526021258290744,0.024727977191957354,0.00020649160973902693,0.00562362000155572,0.0007565202281027454,Stanislav Balík,0.024727977191957354,0.02253046230309671,True
1-554-04,Eliška Wagnerová,I. senát,0.001090767339308834,0.025789457477567942,0.00035939384933449304,0.09010030492674984,0.00023076112340968274,0.01056508914896248,0.0015684102478789846,0.002433148554244222,7.964992246414253e-05,0.014842883484638669,0.006942222428802144,0.0011074401471992358,0.004303677420773238,0.0001611179696230491,0.1027174413020638,0.0701747804520166,4.9703607268815706e-05,0.0014595927003217696,0.0001858834626510074,Radovan Suchánek,0.1027174413020638,0.025789457477567942,True
1-557-09_1,Eliška Wagnerová,I. senát,0.0005602519831897425,0.22803510788449244,0.0006080939577911619,0.002986324659992577,0.0012584445310521966,0.03326240283366836,0.00014354480037284017,0.003389728586171092,0.0005477424040212038,0.025662436318942317,0.000749638328269306,0.0013112778717859954,0.0013801441618863282,0.000683736968047887,0.007509755584905898,0.0049280292700328385,0.0003022476704374911,0.017895137389214603,4.7593246956830816e-05,Eliška Wagnerová,0.22803510788449244,0.22803510788449244,True
1-566-07_1,Ivana Janů,I. senát,0.00027469920570076344,0.0021598498076493655,0.0004354772517459184,0.2143202719577431,0.0013276353186266274,0.0001594961164134763,0.00018407024426834548,0.009002874750284265,0.0008312080578402536,0.0003887794693345953,0.0563541853438256,0.0013063802790458966,0.0003706949826472115,0.0001307856162045315,0.11493657218681048,0.008760833672992798,0.0005011274399871715,0.07407246014883535,8.152316209968411e-05,Ivana Janů,0.2143202719577431,0.2143202719577431,True
1-626-06,Vojen Güttler,I. senát,0.001484240174730331,0.00010376753844289876,0.00021110132924023894,0.004766515196927952,0.0002504269660491882,0.03508962831197659,0.09493347601340521,5.152504488218015e-06,0.00011002157129093869,0.00018075310910760844,0.00033222079237507066,0.0013716031424094038,0.0798816748617416,0.04393872266792242,1.2779758404770648e-05,0.34517755072614326,6.227124384976953e-05,0.0018620049298846337,0.04019073825846352,Stanislav Balík,0.34517755072614326,,False
1-631-23_1,Pavel Šámal,I. senát,0.00014319888322937433,8.793595150051472e-05,0.0005670575956326232,0.13396240518917427,0.001980698812615449,0.007294575076548365,0.0027299105515101846,0.010549101393661307,0.008612378224714726,0.0011272810394236652,0.006381339687366335,0.00023989183612692735,0.0007019126671473371,0.00020635979727802255,0.5759350659908464,0.09117476200798914,0.0006287331042474335,0.032252126497149994,7.778260219648595e-05,Radovan Suchánek,0.5759350659908464,,False
1-642-03,Eliška Wagnerová,I. senát,0.0019585849894491686,0.0069093118908765665,0.004469708487876798,0.007889340840126576,0.0004963820403173087,0.018186096108351524,0.004284617866587647,0.009070183065514449,0.0006391671359879858,0.0002791241267273378,0.000253950409410097,0.003928067608610647,7.890262547851394e-05,0.010308665623603771,0.010998102581339222,0.0007793252570602408,1.6824030576903833e-05,0.006817837628174476,9.590905439344729e-05,Jan Musil,0.018186096108351524,0.0069093118908765665,True
1-689-05,Vojen Güttler,I. senát,0.007223688667795187,0.00034875415439304544,8.601307695049976e-05,0.8297032825462608,2.0682337389490745e-05,0.2143515387551305,0.014858357371037552,2.994214387254792e-06,0.00012836622537048463,0.0014387417530632499,1.8001347361901354e-05,0.004684789865425408,0.021986084816950063,0.002100852459872872,0.00019480481150986305,0.014929774170905772,9.971672453176498e-06,9.006121454160253e-05,0.0016611209449853557,Ivana Janů,0.8297032825462608,,False
1-717-05,Eliška Wagnerová,I. senát,0.00015032157995573974,0.06317886375331139,0.00043986060965954586,0.000586968459389411,0.0002684675185533077,0.005193947091049968,0.0036956629487239928,0.01448698025163069,0.00019442939290882283,0.0001009538288010702,0.00035842764383674686,0.004462821667529152,0.0014351046370480287,0.011983042747707362,0.02525856581150404,0.010844602487792602,1.541890342266177e-05,0.0015315690538738427,0.0005860425448917316,Eliška Wagnerová,0.06317886375331139,0.06317886375331139,True
1-89-07_1,Vojen Güttler,I. senát,0.0006941680722259271,0.000992775311794315,0.0005916249820657189,0.7042351913512933,0.0003282348445699485,0.0003702086729389218,0.0015322960726454652,0.0025497520532339205,0.00011490369051277624,0.003975953402258791,0.005741917403323783,0.001012988812554888,0.0004050147508313389,0.0029365500677302537,0.003341956966619625,0.06146595557374531,0.00012369693022977078,0.02734776913440675,0.0035384902078110024,Ivana Janů,0.7042351913512933,,False
2-101-95,Iva Brožová,II. senát,0.0005435625557726249,0.006610299405189811,0.9639387936396238,0.002323714631078926,0.00018630627347250805,0.00036762217032085926,0.0071440839338169915,0.09000540402853512,0.008964563044448188,3.666489309702517e-06,5.461978685107975e-05,0.00012531373886898444,2.0227876409353985e-05,0.00014622491173717412,0.0005428700093140173,0.8926903744139911,3.086553415066524e-05,0.0027394307390958706,2.8724121345830536e-07,Iva Brožová,0.9639387936396238,0.9639387936396238,True
2-1148-07_1,Jiří Nykodým,II. senát,0.001046737537617035,0.024041894013644184,0.0005451139349394097,0.040884774653747145,0.0013584275977388872,0.001013042203890603,0.005556415488289083,0.005805248326954229,0.0003661591633913563,0.00020556976543662926,0.00011332890588866257,0.0007386266202635929,0.0014180858444122549,0.0003580028984027203,0.05258603473443584,0.007883035127969822,0.00029101524070842047,0.00366811265419729,0.0002098789655402077,Radovan Suchánek,0.05258603473443584,0.005556415488289083,True
2-129-98,Antonín Procházka,II. senát,0.029971934006672363,0.010945533853946279,0.006695672941899674,0.013919325489410762,0.0011269002908478065,0.0008964860451037646,0.09350989725743353,0.06729892743608264,0.00031995079102969856,0.0002180468584635074,0.00028328227971119446,0.0032769237656342914,3.267308845260453e-05,0.002952675105941265,1.8306189136259308e-05,0.004655414070834389,1.272151048290965e-05,0.005791357234916465,3.0301965653919705e-05,Jiří Nykodým,0.09350989725743353,,False
2-1398-17_1,Vojtěch Šimíček,II. senát,0.0005442632065211714,0.0011073489474044478,0.0013947690230731544,0.014696520321769779,0.004560060874352545,0.020183649918678614,0.004281402196716488,6.851076367599662e-05,0.004641442894636025,0.004514720810699639,0.013433144826168296,8.788033267186455e-05,4.821338471243976e-05,0.001369302983329705,0.0010369099786297004,0.15541999590897188,0.0007678721016225874,0.024271044759085366,0.002200701596708654,Stanislav Balík,0.15541999590897188,0.002200701596708654,True
2-1404-11_1,Pavel Rychetský,II. senát,0.02054837999289338,0.0016268831760063935,0.0002509994036189861,0.01788248113912346,0.000678390269027162,0.014327633374742679,0.008781920849574756,0.00040831125470522107,0.0008952184797897547,0.00022885192444149628,0.006348120087456604,0.004166861052379921,0.00017653933097279008,0.0010088669587570332,0.005767791843593964,0.01888570780383463,0.00015515538480823947,0.004937993277916949,0.0013310471402639987,David Uhlíř,0.02054837999289338,,False
