doc_id,label,words,judge_rapporteur_name,separate_opinion,predicted_author,max_probability,prob_rapporteur,prob_David Uhlíř,prob_Eliška Wagnerová,prob_Iva Brožová,prob_Ivana Janů,prob_Jan Filip,prob_Jan Musil,prob_Jiří Nykodým,prob_Jiří Zemánek,prob_Josef Fiala,prob_Kateřina Šimáčková,prob_Ludvík David,prob_Michaela Židlická,prob_Miloslav Výborný,prob_Pavel Varvařovský,prob_Radovan Suchánek,prob_Stanislav Balík,prob_Vladimír Kůrka,prob_Vladimír Sládeček,prob_Vojtěch Šimíček,norm_David Uhlíř,norm_Eliška Wagnerová,norm_Iva Brožová,norm_Ivana Janů,norm_Jan Filip,norm_Jan Musil,norm_Jiří Nykodým,norm_Jiří Zemánek,norm_Josef Fiala,norm_Kateřina Šimáčková,norm_Ludvík David,norm_Michaela Židlická,norm_Miloslav Výborný,norm_Pavel Varvařovský,norm_Radovan Suchánek,norm_Stanislav Balík,norm_Vladimír Kůrka,norm_Vladimír Sládeček,norm_Vojtěch Šimíček
Pl-5-12_1,FACT,3111,Pavel Holländer,Jiří Nykodým,Jiří Zemánek,0.782308435136245,,0.0007138979704655492,0.016463049569477948,0.003367368344988316,0.0011986650865505267,0.0024380644428142646,0.0003479861496138832,0.22098041466787477,0.782308435136245,0.0018450761113453773,0.0011562203228313314,0.0010627440682273045,0.00015422889772475574,5.8149004547808624e-05,4.291684255249601e-05,0.035096304350067685,0.09237031159421774,0.0004206363442971821,0.0058344666314241525,3.857446058294926e-06,0.0485746393683764,0.04934570460170143,0.04870370189095718,0.048598192464639915,0.04865846237462488,0.04855686858510602,0.06054386161359416,0.10613332727065608,0.048629617027531886,0.04859612976961918,0.048591587397725323,0.04854746125108766,0.04854279704026867,0.048542057634151835,0.05027379551260604,0.05323723111869829,0.04856039637920786,0.04882400705174294,0.04854016164770434
Pl-5-12_1,RATIO,5049,Pavel Holländer,Jiří Nykodým,Ivana Janů,0.7302654351770985,,0.00046720906691329604,0.0004187829221193012,0.004680219495676531,0.7302654351770985,7.319094494112244e-05,0.00039297538505957857,0.02173151181823849,0.36868697681363805,0.0019234642436654532,0.00047191299169397483,0.014845453756460276,0.0006186331600324187,6.318921658041159e-05,0.00013096877831290596,0.4049807961008355,0.0006856362782825118,0.0021937749473789703,0.008995574997337875,1.55569358223874e-06,0.04746311209431654,0.04746081369442966,0.04766349649494349,0.09846991282481601,0.04744441445187306,0.04745958886352635,0.04848318925710331,0.06859177225733427,0.04753228084846307,0.0474633353577508,0.048150478049905625,0.04747029969719642,0.04744393992810052,0.04744715576653853,0.0711269571336987,0.04747348046185979,0.047545131069446224,0.047869625867649264,0.047441015881048425
Pl-5-12_1,DISP,174,Pavel Holländer,Jiří Nykodým,Radovan Suchánek,0.9954191331730641,,0.046710306466605706,0.03516625821752164,0.16189491632721895,4.8814467313938914e-08,9.895631352524481e-06,5.804922055060632e-07,0.0016988603545443747,0.6612783272220198,0.8664651322889806,7.4358501335434905e-09,4.494063323394333e-05,0.00023257842277595131,3.05548902189681e-06,0.0006777415194816609,0.9954191331730641,0.008585063033870329,0.0018704041067389929,0.03768828313286462,1.2681717038170602e-10,0.044908046222589,0.044392606425331015,0.05039044590494965,0.042858617108895096,0.04285903913192751,0.04285863989587377,0.04293148770140804,0.0830285896934924,0.10193871584742231,0.042858615335464825,0.04286054115335354,0.04286858416511701,0.04285874597100233,0.042887671925063285,0.11596933568014169,0.04322814286857226,0.042938852961609764,0.04450470698557671,0.04285861502220979
Pl-5-12_1,DIS,1222,Pavel Holländer,Jiří Nykodým,Jiří Nykodým,0.9980754264101136,,0.008224871682025568,0.0011557610803317243,0.0004008274710670717,0.006464573228528993,0.00041164309127136536,0.017645462430090013,0.9980754264101136,0.0053117360023148515,0.00010443545222483039,0.0032894765771103803,0.003859724021376547,0.0023129931458986735,0.00022438301099231056,0.00037988387289738395,0.005031556666868325,0.01303238464449834,2.913107129449758e-05,0.0016688138966243471,0.00014190096529251094,0.048513429260598755,0.04817169177664041,0.04813533907116918,0.04842810626509819,0.04813585968753037,0.048972613922884926,0.13054150292977726,0.0483723087103296,0.048121074254937495,0.04827458619656179,0.04830212250647237,0.048227469870891784,0.04812684660650246,0.048134330954526745,0.04835875768746807,0.048747219725685,0.04811745066366889,0.048196412739809624,0.048122877169447166
Pl-51-05_1,HEAD,120,Jan Musil,Stanislav Balík,Josef Fiala,0.9657619229382919,5.327120030016267e-06,0.09386314528877646,0.00014994660474175085,0.0026932204312547694,1.0562599511144887e-05,8.149786539594297e-06,5.327120030016267e-06,0.00016763283275890014,0.9586042976323421,0.9657619229382919,8.13996821071306e-05,0.5020337123206849,0.19451672126138217,3.353594231035538e-08,2.345291668241032e-06,0.9332536831802438,0.002864243789925877,1.4776643301141543e-06,8.318379844199386e-05,5.213902373871398e-10,0.04438215537831374,0.04041189951605079,0.040514808850207466,0.04040626713617821,0.04040616964353036,0.04040605559054949,0.04041261425644075,0.10538060807817615,0.10613758884588718,0.040409129499640276,0.06675358807648063,0.04908193569881428,0.040405841698262696,0.040405935106806574,0.10274272219512373,0.04052173842143533,0.040405900049527856,0.04040920159429261,0.04040584036428195
Pl-51-05_1,REC,320,Jan Musil,Stanislav Balík,Ivana Janů,0.9163134680406251,0.01969025651506267,0.008188266549219055,0.0002914539318149244,0.0012469129456932591,0.9163134680406251,1.2014047022345153e-05,0.01969025651506267,7.762650438821986e-05,0.00012052641195784557,0.038334308601183024,0.000455309628702649,0.0028651518134942978,0.0023242682028707775,0.00010180865343944808,0.0008184127692769645,0.055917236149717504,0.0001565606416561671,6.270615568955568e-05,7.056503363719218e-05,0.019611273049090817,0.048816812497601884,0.048432833377706985,0.04847913107918137,0.12104955090861191,0.04841930120313044,0.04938154453024217,0.04842247821669102,0.04842455558108986,0.05031085273498616,0.0484407700235869,0.04855764540370297,0.048531388470746124,0.04842364919043495,0.04845836221301063,0.05120328763065636,0.04842630055408789,0.048421755741820977,0.048422136283984674,0.04937764435872669
Pl-51-05_1,PART,1270,Jan Musil,Stanislav Balík,Ivana Janů,0.47885777364973703,0.03712439289812563,0.02080040033301809,0.01885909115295599,0.00016768759909545133,0.47885777364973703,4.810221354214195e-05,0.03712439289812563,0.14909569865317496,0.010858767682728254,0.0006000422618771935,0.0009843074563325523,0.0058239756220910275,0.0011572013157024703,9.28681059279676e-05,0.0009353610959688561,0.001971064002455963,0.006485224674362817,5.604673404586353e-06,8.213474754431043e-05,0.00015390881368624657,0.051352971965809104,0.051253376673814306,0.05030427676360209,0.08118903366522857,0.05029826146694829,0.05219813696424831,0.05838261222721197,0.0508449689567528,0.05032603075459954,0.05034537301263389,0.050589618468440796,0.050354078170988,0.05030051316390755,0.050342908850170155,0.05039507615743994,0.05062308186830924,0.05029612395998247,0.0502999732733703,0.05030358363654264
Pl-51-05_1,PROC,404,Jan Musil,Stanislav Balík,Radovan Suchánek,0.3139969262636276,0.02779520497020195,0.03747247647077711,0.004545362620402387,0.00046150655671548945,1.0415802703426089e-05,1.9082644518112913e-05,0.02779520497020195,0.00016476593633277744,0.011599908567344702,0.3030209808408198,5.620764332306328e-07,0.003971904144192468,0.00025150217375899555,5.274276844089017e-05,5.976794016575887e-05,0.3139969262636276,0.0023645198309924925,2.0120459996252173e-05,0.00014232247567616307,4.0426599942934416e-07,0.05239923349227568,0.05070197423369499,0.05049533689454438,0.05047256405164612,0.05047300149127035,0.05189459757099765,0.050480355099911306,0.05106091824542092,0.06833625649835436,0.05047206671126613,0.050672907092006066,0.05048473376586838,0.050474700447348676,0.05047505504203261,0.06909044290301294,0.05059152168238037,0.0504730538729597,0.0504792221587613,0.05047205874624802
Pl-51-05_1,FACT,794,Jan Musil,Stanislav Balík,Jiří Zemánek,0.6635833309625776,0.1520481181611794,0.01680472618316091,0.0033612906435508028,0.00044277875080015816,1.2992012233517686e-06,2.1595990015381787e-05,0.1520481181611794,5.5514884683155764e-05,0.6635833309625776,0.5276477556082644,5.425363803515997e-06,0.006535544401290581,0.0003899543642604389,0.0005018932261282661,1.1153539092994698e-05,0.0005027726877373951,0.0039362241548448465,0.0029846988245900126,0.018272363221623806,8.33472102749491e-08,0.048762561657448966,0.048111411954200274,0.047971202926613804,0.04795002929575952,0.04795100253725351,0.05582413100844968,0.04795262900984171,0.0931062620953959,0.08127235068226861,0.0479502271457843,0.048264372423624136,0.04796866894417626,0.04797403880292552,0.04795050181387723,0.047974080994269426,0.04813908077031105,0.048093297001245296,0.04883417994099532,0.047949970995559414
Pl-51-05_1,RATIO,2208,Jan Musil,Stanislav Balík,Ivana Janů,0.7878323689753559,0.010204277857142237,0.0011711257908631244,0.0018609299678457897,0.0003644684007392304,0.7878323689753559,4.123385062616399e-05,0.010204277857142237,0.0017162421650563176,0.006339443431380911,0.0032740408402289166,0.000859349152476167,0.006391422175469442,0.00021929275312823927,0.0005567788911932558,0.0002494276723667054,0.004203126259689082,0.028117920164245146,5.925790962035902e-05,0.012461378276347935,0.00016799903382750558,0.04937360153061384,0.04940767139659932,0.04933379000934982,0.108427000769006,0.04931784620086448,0.04982162124997744,0.04940052322632299,0.04962944054554051,0.04947753926812693,0.049358210394526585,0.049632020288575204,0.04932662846428967,0.04934327832702475,0.049328114940652056,0.04952352948956557,0.05072214974347191,0.04931873511664479,0.04993420065590376,0.04932409838294436
