file_id	ecli
4-382-2000	ECLI:CZ:US:2001:4.US.382.2000
4-395-02	ECLI:CZ:US:2003:4.US.395.02
4-4206-18_1	ECLI:CZ:US:2020:4.US.4206.18.1
4-433-10_1	ECLI:CZ:US:2011:4.US.433.10.1
4-50-10_1	ECLI:CZ:US:2011:4.US.50.10.1
4-500-2000	ECLI:CZ:US:2000:4.US.500.2000
4-541-21_1	ECLI:CZ:US:2021:4.US.541.21.1
4-544-98	ECLI:CZ:US:1999:4.US.544.98
4-579-22_6	ECLI:CZ:US:2022:4.US.579.22.6
4-630-03	ECLI:CZ:US:2004:4.US.630.03
4-677-21_1	ECLI:CZ:US:2021:4.US.677.21.1
4-690-01	ECLI:CZ:US:2003:4.US.690.01
4-699-22_2	ECLI:CZ:US:2022:4.US.699.22.2
4-702-20_1	ECLI:CZ:US:2020:4.US.702.20.1
4-767-05	ECLI:CZ:US:2006:4.US.767.05
4-797-20_2	ECLI:CZ:US:2020:4.US.797.20.2
4-899-15_1	ECLI:CZ:US:2016:4.US.899.15.1
4-988-19_1	ECLI:CZ:US:2019:4.US.988.19.1
Pl-1-95	ECLI:CZ:US:1995:Pl.US.1.95
Pl-10-09_1	ECLI:CZ:US:2012:Pl.US.10.09.1
Pl-10-17_1	ECLI:CZ:US:2020:Pl.US.10.17.1
Pl-10-94_1	ECLI:CZ:US:1995:Pl.US.10.94.1
Pl-13-09_1	ECLI:CZ:US:2011:Pl.US.13.09.1
Pl-13-21_1	ECLI:CZ:US:2021:Pl.US.13.21.1
Pl-15-01	ECLI:CZ:US:2001:Pl.US.15.01
Pl-15-06	ECLI:CZ:US:2006:Pl.US.15.06
Pl-15-96	ECLI:CZ:US:1996:Pl.US.15.96
Pl-15-98	ECLI:CZ:US:1999:Pl.US.15.98
Pl-16-09_1	ECLI:CZ:US:2010:Pl.US.16.09.1
Pl-16-14_1	ECLI:CZ:US:2015:Pl.US.16.14.1
Pl-18-15_1	ECLI:CZ:US:2016:Pl.US.18.15.1
Pl-19-14_1	ECLI:CZ:US:2015:Pl.US.19.14.1
Pl-19-20_1	ECLI:CZ:US:2020:Pl.US.19.20.1
Pl-2-14_2	ECLI:CZ:US:2014:Pl.US.2.14.2
Pl-2-17_1	ECLI:CZ:US:2017:Pl.US.2.17.1
Pl-20-06_1	ECLI:CZ:US:2007:Pl.US.20.06.1
Pl-20-93	ECLI:CZ:US:1994:Pl.US.20.93
Pl-21-18_1	ECLI:CZ:US:2019:Pl.US.21.18.1
Pl-22-22_1	ECLI:CZ:US:2023:Pl.US.22.22.1
Pl-23-11_1	ECLI:CZ:US:2012:Pl.US.23.11.1
Pl-23-97	ECLI:CZ:US:1997:Pl.US.23.97
Pl-24-07_1	ECLI:CZ:US:2008:Pl.US.24.07.1
Pl-24-07_2	ECLI:CZ:US:2008:Pl.US.24.07.2
Pl-24-09_2	ECLI:CZ:US:2009:Pl.US.24.09.2
Pl-24-09_3	ECLI:CZ:US:2009:Pl.US.24.09.3
Pl-24-11_1	ECLI:CZ:US:2011:Pl.US.24.11.1
Pl-24-19_1	ECLI:CZ:US:2020:Pl.US.24.19.1
Pl-24-97_0	ECLI:CZ:US:1998:Pl.US.24.97.0
Pl-25-12_1	ECLI:CZ:US:2013:Pl.US.25.12.1
Pl-25-98	ECLI:CZ:US:1999:Pl.US.25.98
Pl-26-08_1	ECLI:CZ:US:2009:Pl.US.26.08.1
Pl-27-16_1	ECLI:CZ:US:2018:Pl.US.27.16.1
Pl-28-95	ECLI:CZ:US:1996:Pl.US.28.95
Pl-3-06_1	ECLI:CZ:US:2007:Pl.US.3.06.1
Pl-3-2000	ECLI:CZ:US:2000:Pl.US.3.2000
Pl-3-20_1	ECLI:CZ:US:2021:Pl.US.3.20.1
Pl-3-22_1	ECLI:CZ:US:2022:Pl.US.3.22.1
Pl-30-15_1	ECLI:CZ:US:2016:Pl.US.30.15.1
Pl-30-18_1	ECLI:CZ:US:2019:Pl.US.30.18.1
Pl-30-95_1	ECLI:CZ:US:1996:Pl.US.30.95.1
Pl-31-03	ECLI:CZ:US:2004:Pl.US.31.03
Pl-32-09_1	ECLI:CZ:US:2010:Pl.US.32.09.1
Pl-33-96	ECLI:CZ:US:1997:Pl.US.33.96
Pl-33-97	ECLI:CZ:US:1997:Pl.US.33.97
Pl-34-97	ECLI:CZ:US:1998:Pl.US.34.97
Pl-36-09_1	ECLI:CZ:US:2013:Pl.US.36.09.1
Pl-36-13_1	ECLI:CZ:US:2014:Pl.US.36.13.1
Pl-36-18_1	ECLI:CZ:US:2019:Pl.US.36.18.1
Pl-4-10_1	ECLI:CZ:US:2010:Pl.US.4.10.1
Pl-4-18_1	ECLI:CZ:US:2018:Pl.US.4.18.1
Pl-4-22_1	ECLI:CZ:US:2023:Pl.US.4.22.1
Pl-4-94	ECLI:CZ:US:1994:Pl.US.4.94
Pl-40-06_2	ECLI:CZ:US:2008:Pl.US.40.06.2
Pl-41-02	ECLI:CZ:US:2004:Pl.US.41.02
Pl-42-05	ECLI:CZ:US:2007:Pl.US.42.05
Pl-42-17_1	ECLI:CZ:US:2018:Pl.US.42.17.1.1
Pl-42-18_1	ECLI:CZ:US:2018:Pl.US.42.18.1
Pl-44-02_1	ECLI:CZ:US:2003:Pl.US.44.02.1
Pl-44-06_1	ECLI:CZ:US:2007:Pl.US.44.06.1
Pl-44-18_1	ECLI:CZ:US:2019:Pl.US.44.18.1
Pl-45-17_1	ECLI:CZ:US:2019:Pl.US.45.17.1
Pl-5-12_1	ECLI:CZ:US:2012:Pl.US.5.12.1
Pl-51-05_1	ECLI:CZ:US:2009:Pl.US.51.05.1
Pl-55-2000	ECLI:CZ:US:2001:Pl.US.55.2000
Pl-58-05_1	ECLI:CZ:US:2010:Pl.US.58.05.1
Pl-6-08_1	ECLI:CZ:US:2008:Pl.US.6.08.1
Pl-8-06	ECLI:CZ:US:2007:Pl.US.8.06
Pl-9-01	ECLI:CZ:US:2001:Pl.US.9.01
Pl-9-17_1	ECLI:CZ:US:2018:Pl.US.9.17.1
Pl-90-20_2	ECLI:CZ:US:2020:Pl.US.90.20.2
Pl-92-20_1	ECLI:CZ:US:2023:Pl.US.92.20.1
